PlantID,Year,symp.extent,varb,resp,id,root
A,2017,0.42,late17.tillers,56,1,1
B,2017,0.42,late17.tillers,45,2,1
C,2017,0.39,late17.tillers,77,3,1
D,2017,0.68,late17.tillers,79,4,1
E,2017,0.19,late17.tillers,148,5,1
F,2017,0.05,late17.tillers,114,6,1
G,2017,0.14,late17.tillers,172,7,1
H,2017,0.04,late17.tillers,157,8,1
I,2017,0.22,late17.tillers,90,9,1
J,2017,0.22,late17.tillers,219,10,1
A,2017,0.42,late17.panicles,46,1,1
B,2017,0.42,late17.panicles,44,2,1
C,2017,0.39,late17.panicles,63,3,1
D,2017,0.68,late17.panicles,60,4,1
E,2017,0.19,late17.panicles,111,5,1
F,2017,0.05,late17.panicles,88,6,1
G,2017,0.14,late17.panicles,152,7,1
H,2017,0.04,late17.panicles,124,8,1
I,2017,0.22,late17.panicles,80,9,1
J,2017,0.22,late17.panicles,184,10,1
A,2017,0.42,late17.pans.sampled,5,1,1
B,2017,0.42,late17.pans.sampled,5,2,1
C,2017,0.39,late17.pans.sampled,7,3,1
D,2017,0.68,late17.pans.sampled,6,4,1
E,2017,0.19,late17.pans.sampled,12,5,1
F,2017,0.05,late17.pans.sampled,9,6,1
G,2017,0.14,late17.pans.sampled,16,7,1
H,2017,0.04,late17.pans.sampled,13,8,1
I,2017,0.22,late17.pans.sampled,8,9,1
J,2017,0.22,late17.pans.sampled,19,10,1
A,2017,0.42,late17.floret.count.total,2421,1,1
B,2017,0.42,late17.floret.count.total,2440,2,1
C,2017,0.39,late17.floret.count.total,3542,3,1
D,2017,0.68,late17.floret.count.total,959,4,1
E,2017,0.19,late17.floret.count.total,3849,5,1
F,2017,0.05,late17.floret.count.total,3045,6,1
G,2017,0.14,late17.floret.count.total,7871,7,1
H,2017,0.04,late17.floret.count.total,4180,8,1
I,2017,0.22,late17.floret.count.total,4399,9,1
J,2017,0.22,late17.floret.count.total,7832,10,1
A,2018,0.19,late18.tillers,83,1,1
B,2018,0.33,late18.tillers,63,2,1
C,2018,0.29,late18.tillers,119,3,1
D,2018,0.61,late18.tillers,88,4,1
E,2018,0.18,late18.tillers,169,5,1
F,2018,0,late18.tillers,101,6,1
G,2018,0.06,late18.tillers,239,7,1
H,2018,0.04,late18.tillers,225,8,1
I,2018,0.19,late18.tillers,94,9,1
J,2018,0.21,late18.tillers,240,10,1
A,2018,0.19,late18.panicles,62,1,1
B,2018,0.33,late18.panicles,56,2,1
C,2018,0.29,late18.panicles,95,3,1
D,2018,0.61,late18.panicles,72,4,1
E,2018,0.18,late18.panicles,136,5,1
F,2018,0,late18.panicles,92,6,1
G,2018,0.06,late18.panicles,188,7,1
H,2018,0.04,late18.panicles,167,8,1
I,2018,0.19,late18.panicles,83,9,1
J,2018,0.21,late18.panicles,191,10,1
A,2018,0.19,late18.pans.sampled,7,1,1
B,2018,0.33,late18.pans.sampled,6,2,1
C,2018,0.29,late18.pans.sampled,10,3,1
D,2018,0.61,late18.pans.sampled,8,4,1
E,2018,0.18,late18.pans.sampled,14,5,1
F,2018,0,late18.pans.sampled,10,6,1
G,2018,0.06,late18.pans.sampled,19,7,1
H,2018,0.04,late18.pans.sampled,11,8,1
I,2018,0.19,late18.pans.sampled,9,9,1
J,2018,0.21,late18.pans.sampled,20,10,1
A,2018,0.19,late18.floret.count.total,3002,1,1
B,2018,0.33,late18.floret.count.total,2811,2,1
C,2018,0.29,late18.floret.count.total,3443,3,1
D,2018,0.61,late18.floret.count.total,1698,4,1
E,2018,0.18,late18.floret.count.total,4888,5,1
F,2018,0,late18.floret.count.total,3975,6,1
G,2018,0.06,late18.floret.count.total,8048,7,1
H,2018,0.04,late18.floret.count.total,4013,8,1
I,2018,0.19,late18.floret.count.total,3771,9,1
J,2018,0.21,late18.floret.count.total,8803,10,1
A,2019,0.16,late19.tillers,94,1,1
B,2019,0.24,late19.tillers,89,2,1
C,2019,0.2,late19.tillers,182,3,1
D,2019,0.54,late19.tillers,124,4,1
E,2019,0.17,late19.tillers,231,5,1
F,2019,0,late19.tillers,176,6,1
G,2019,0.13,late19.tillers,252,7,1
H,2019,0.03,late19.tillers,233,8,1
I,2019,0.07,late19.tillers,153,9,1
J,2019,0.19,late19.tillers,307,10,1
A,2019,0.16,late19.panicles,63,1,1
B,2019,0.24,late19.panicles,75,2,1
C,2019,0.2,late19.panicles,145,3,1
D,2019,0.54,late19.panicles,81,4,1
E,2019,0.17,late19.panicles,175,5,1
F,2019,0,late19.panicles,143,6,1
G,2019,0.13,late19.panicles,172,7,1
H,2019,0.03,late19.panicles,192,8,1
I,2019,0.07,late19.panicles,104,9,1
J,2019,0.19,late19.panicles,225,10,1
A,2019,0.16,late19.pans.sampled,7,1,1
B,2019,0.24,late19.pans.sampled,8,2,1
C,2019,0.2,late19.pans.sampled,15,3,1
D,2019,0.54,late19.pans.sampled,9,4,1
E,2019,0.17,late19.pans.sampled,18,5,1
F,2019,0,late19.pans.sampled,15,6,1
G,2019,0.13,late19.pans.sampled,18,7,1
H,2019,0.03,late19.pans.sampled,20,8,1
I,2019,0.07,late19.pans.sampled,11,9,1
J,2019,0.19,late19.pans.sampled,23,10,1
A,2019,0.16,late19.floret.count.total,2761,1,1
B,2019,0.24,late19.floret.count.total,5980,2,1
C,2019,0.2,late19.floret.count.total,6415,3,1
D,2019,0.54,late19.floret.count.total,2305,4,1
E,2019,0.17,late19.floret.count.total,4779,5,1
F,2019,0,late19.floret.count.total,3423,6,1
G,2019,0.13,late19.floret.count.total,5023,7,1
H,2019,0.03,late19.floret.count.total,3168,8,1
I,2019,0.07,late19.floret.count.total,4037,9,1
J,2019,0.19,late19.floret.count.total,5402,10,1
